1,95;0,42;0,48
0,50;0,44;0,45
0,64;0,60;0,63
0,79;0,67;0,66
0,84;0,80;0,83
0,48;0,39;0,37
0,66;0,43;0,58
0,65;0,47;0,46
0,64;0,56;0,49
0,64;0,48;0,47
0,63;0,54;0,77
0,81;0,60;0,58
0,52;0,34;0,36
0,49;0,31;0,39
0,52;0,36;0,36
0,55;0,42;0,41
0,80;0,60;0,68
0,77;0,80;0,93
5,76;0,63;0,65
0,81;0,59;0,76
0,99;0,75;0,61
1,1;0,61;0,60
0,96;0,69;0,76
0,97;0,69;0,67
1,33;1,7;1,4
1,47;1,32;1,9
1,39;0,87;1,10
1,61;1,3;1,52
1,32;1,5;1,3
1,37;1,49;1,56
1,40;0,85;1,17
1,56;0,82;0,89
1,27;0,85;1,8
1,29;0,88;0,97
1,46;1,6;1,22
1,65;1,22;1,55
1,67;1,24;1,9
1,67;1,5;8,94
1,72;1,19;1,30
1,60;1,25;1,45
1,67;1,13;1,33
1,71;1,21;1,41
1,56;1,3;1,28
1,88;1,31;1,63
2,16;1,76;1,72
2,40;1,94;2,5
2,59;1,84;2,5
2,6;1,36;1,43
2,3;1,39;1,48
2,7;1,39;1,63
2,23;1,89;1,50
2,16;1,65;1,54
2,1;1,52;1,75
2,48;1,78;1,87
2,52;1,85;1,88
3,18;1,84;2,92
2,32;1,53;1,66
2,9;1,32;1,45
2,8;1,52;1,50
2,10;1,25;1,39
2,14;1,35;1,48
2,23;1,32;1,45
3,47;1,98;2,34
5,19;2,36;3,28
3,40;1,80;2,64
5,58;4,37;3,88
5,64;2,31;3,24
4,30;2,77;2,81
3,97;3,7;2,94
4,26;3,9;3,36
4,17;2,59;2,86
4,2;2,51;2,68
3,26;2,23;2,62
3,49;2,42;2,75
3,40;2,26;2,65
3,46;2,28;2,60
4,4;2,44;2,72
8,3;1,99;2,34
2,93;1,79;2,14
2,98;1,91;2,19
4,17;2,28;9,79
3,54;1,91;2,31
3,57;2,20;2,63
3,43;2,21;2,60
3,48;2,21;2,63
43,0;3,4;3,48
4,26;2,93;3,54
33,93;2,18;2,66
3,79;2,51;2,95
4,33;3,86;4,27
6,13;5,1;4,19
4,45;3,27;3,94
57,69;3,34;14,2
4,10;2,46;2,96
4,18;2,64;3,20
4,18;2,88;3,36
4,26;46,62;35,51
4,32;3,21;4,29
6,16;3,92;4,2
5,45;3,58;4,28
5,87;3,98;4,29
5,72;3,95;4,63
5,85;3,85;4,74
6,4;4,3;4,57
4,58;2,94;3,63
4,95;2,77;3,54
4,67;2,94;3,69
4,84;2,89;3,67
4,99;3,23;3,93
4,85;3,14;4,48
6,12;4,13;4,88
6,22;4,23;5,15
8,14;5,88;6,82
8,13;6,9;7,13
7,96;4,75;5,84
6,72;4,98;5,63
6,96;120,28;34,28
6,32;3,45;4,39
5,55;3,43;4,48
5,61;3,46;4,39
5,66;3,51;104,30
6,48;4,58;5,50
7,3;4,73;6,15
7,50;5,28;6,8
7,47;5,26;6,38
8,83;6,57;6,17
7,49;6,2;7,22
8,52;6,1;7,41
9,24;6,92;6,94
8,70;6,10;7,34
8,79;6,11;8,45
8,6;39,14;5,87
6,97;4,66;5,1
6,52;44,55;39,8
6,85;5,27;6,68
7,95;5,54;6,67
8,75;6,34;7,46
9,2;6,69;7,75
9,38;6,91;7,85
8,89;19,3;6,86
9,33;6,5;6,83
7,36;4,68;6,0
66,90;6,88;9,40
67,64;17,28;10,88
7,91;4,82;6,13
7,70;4,91;6,19
115,23;6,20;7,39
9,23;6,28;8,4
10,22;6,92;8,77
9,98;6,58;8,31
10,53;7,29;8,89
23,96;7,44;9,13
17,29;8,87;7,4
8,93;5,81;7,8
9,8;5,78;107,10
11,78;7,47;9,26
10,32;7,3;8,15
10,63;63,90;9,51
10,36;6,61;7,58
8,84;6,17;7,55
10,5;6,53;7,88
160,15;7,92;9,1
10,44;7,57;8,78
12,33;8,68;9,71
11,58;8,53;9,63
11,70;8,57;9,90
10,77;9,64;39,38
9,63;5,85;7,24
9,42;5,88;7,37
9,33;5,98;133,85
11,29;8,1;9,50
11,68;8,29;10,78
13,25;9,87;11,33
12,61;8,75;10,44
14,79;10,14;11,44
23,10;21,93;9,12
28,29;8,1;9,23
10,88;6,34;8,14
10,18;6,38;8,18
10,31;6,64;84,48
13,31;9,53;62,87
12,74;8,85;10,90
16,12;12,9;13,53
17,40;13,79;13,87
22,26;35,28;19,88
11,32;7,68;9,17
11,74;7,93;9,32
124,28;9,36;11,50
72,87;7,44;10,6
13,99;11,20;13,5
96,80;23,90;11,34
12,41;8,6;10,23
12,32;8,23;9,65
14,41;94,13;12,6
14,11;10,32;12,12
15,63;11,49;13,41
16,90;12,0;11,62
16,53;10,50;45,3
17,71;9,3;11,43
29,98;14,73;11,0
12,48;7,95;10,18
