2,13;3,69;12,1
0,32;0,18;1,35
0,29;0,23;1,39
0,52;0,32;1,47
0,41;0,34;1,49
0,38;0,38;1,54
0,40;0,42;1,57
0,37;0,51;1,73
0,45;0,52;1,66
0,83;0,90;1,67
0,35;0,58;1,72
0,48;0,65;1,76
0,34;0,69;1,79
0,35;0,73;1,80
0,42;0,78;1,89
0,45;0,83;1,82
0,39;0,91;1,86
0,70;0,98;1,86
0,51;1,13;2,21
0,61;1,8;1,90
0,81;1,9;1,84
0,44;1,12;1,87
0,57;1,17;1,94
0,75;1,24;1,84
0,70;1,27;1,87
0,78;1,54;2,0
0,74;1,46;1,86
0,87;1,45;1,84
0,76;1,50;1,78
0,67;1,61;1,76
0,66;1,58;1,68
0,69;1,62;1,64
0,62;1,67;1,62
0,52;1,72;1,57
0,94;1,76;1,56
0,65;1,82;1,48
0,87;1,86;1,45
0,78;1,91;1,41
0,78;1,98;1,34
0,72;2,1;1,28
0,90;2,7;1,23
0,72;2,12;1,17
0,66;2,17;1,22
0,74;2,22;1,3
0,93;2,30;1,3
0,96;2,33;0,98
1,18;2,38;0,88
1,1;2,42;0,82
0,82;2,47;0,65
1,3;2,57;0,58
0,72;2,61;0,48
1,4;2,62;0,40
1,15;0,40;2,68
1,21;0,50;2,72
0,74;0,59;2,77
0,91;0,69;2,83
1,41;0,81;2,89
1,31;0,94;2,92
1,14;1,1;2,97
1,30;1,9;3,0
0,89;1,18;3,4
1,5;1,27;3,5
1,79;1,91;4,59
1,41;2,3;4,31
1,52;1,51;3,15
1,17;1,63;3,18
1,35;1,73;4,47
1,65;1,76;3,18
1,49;1,85;3,30
1,28;2,1;3,24
1,48;2,4;3,34
1,35;2,13;3,23
1,42;2,21;3,25
1,52;2,27;3,20
1,40;2,36;3,21
1,90;2,43;3,21
1,18;2,53;3,12
1,85;2,59;3,13
1,50;2,60;3,20
1,37;2,69;2,96
1,49;2,71;2,93
1,59;2,81;2,93
2,16;2,85;2,83
1,36;2,91;2,78
1,53;2,97;2,72
1,71;3,8;2,66
1,92;3,18;2,68
1,63;3,20;2,62
1,20;3,24;2,47
1,83;3,29;2,37
2,6;3,43;2,46
1,58;3,42;2,34
1,54;3,48;2,25
1,78;3,72;2,8
1,94;3,60;2,5
1,69;3,63;1,86
1,89;3,73;1,81
1,68;3,81;1,67
1,89;3,91;1,70
2,10;4,1;1,56
1,72;4,1;1,45
1,69;4,9;1,32
1,84;4,2;1,23
2,23;4,15;1,15
3,20;81,73;4,19
1,98;1,24;27,83
2,4;1,25;4,23
1,95;1,34;4,32
2,18;1,47;4,34
2,37;1,60;4,40
2,23;1,81;4,42
2,27;1,93;4,46
2,19;2,3;4,52
2,30;2,22;4,55
2,34;2,33;4,60
2,26;2,39;4,71
2,46;2,49;4,61
24,69;2,70;4,94
2,31;2,63;4,56
2,0;2,76;4,55
2,39;2,84;4,57
2,21;2,97;4,53
1,87;3,12;4,57
2,23;3,23;4,57
2,44;3,30;4,53
2,53;3,42;4,54
2,80;3,52;4,49
2,20;3,61;4,46
2,36;3,70;4,45
2,69;3,81;4,38
2,59;3,97;4,35
2,77;3,96;4,32
2,92;4,4;4,20
2,98;4,4;4,6
2,73;4,15;4,1
2,79;4,28;3,96
2,68;4,27;3,84
2,89;4,43;3,92
2,63;4,51;3,83
4,16;4,54;18,73
2,49;4,79;3,51
2,86;4,63;3,40
2,91;4,77;3,28
2,52;4,91;3,40
2,73;4,83;3,17
3,15;4,94;2,95
2,58;4,97;2,84
4,7;5,7;2,82
3,33;5,12;2,79
3,9;5,27;2,57
3,32;5,23;2,43
3,18;5,29;2,25
3,20;18,39;2,2
3,57;5,36;1,86
3,39;5,44;1,70
3,63;5,56;1,77
2,84;5,56;1,53
2,52;1,38;5,57
4,38;1,83;5,63
2,87;1,72;5,72
3,77;1,90;5,75
3,71;2,5;5,78
3,96;2,35;5,90
3,54;2,50;5,94
3,35;2,66;5,97
3,34;2,83;5,99
3,28;3,46;32,18
4,8;3,20;6,9
2,91;3,11;5,99
4,21;3,28;6,0
3,49;3,46;6,1
2,86;3,65;6,9
3,39;3,80;6,12
4,26;3,95;5,99
3,51;4,6;6,9
3,65;4,19;6,14
3,39;4,17;6,22
3,57;7,16;5,95
3,93;4,45;5,87
3,96;4,58;5,82
4,52;4,78;5,89
3,4;4,77;5,71
3,35;5,1;5,79
3,20;5,11;5,72
3,60;5,20;5,65
4,5;5,22;5,49
4,46;5,32;5,47
3,88;5,41;5,34
3,54;5,63;5,31
4,72;5,62;5,11
3,80;5,75;5,13
4,47;6,45;5,33
4,69;5,89;4,82
3,96;5,97;4,70
5,6;6,11;4,71
4,43;6,18;4,57
4,8;6,38;4,57
3,58;6,32;4,33
4,49;6,36;4,5
4,18;12,17;3,98
4,12;6,50;3,76
